Entity Source IDE;Entity Source Product Name;Entity Source Manufacturer Name;Entity Source Ingredients;Entity Target IDE;Entity Target Product Name;Entity Target Manufacturer Name;Entity Target Ingredients;Classification;Similarity Score
23480;KANEKA Filling Cheese Series;PT. Kaneka Foods Indonesia;;23047;KANEKA Filling Coffee Series;PT. Kaneka Foods Indonesia;;owl:sameAs;0.9433142857142858
23480;KANEKA Filling Cheese Series;PT. Kaneka Foods Indonesia;;23102;KANEKA Filling Vanilla Series;PT. Kaneka Foods Indonesia;;owl:sameAs;0.9052754142409316
23480;KANEKA Filling Cheese Series;PT. Kaneka Foods Indonesia;;23507;KANEKA Filling Mango Series;PT. Kaneka Foods Indonesia;;owl:sameAs;0.9106301106301107
23480;KANEKA Filling Cheese Series;PT. Kaneka Foods Indonesia;;23517;KANEKA Filling Passion Fruit Series;PT. Kaneka Foods Indonesia;;rdfs:seeAlso;0.8922236024844721
23480;KANEKA Filling Cheese Series;PT. Kaneka Foods Indonesia;;23551;KANEKA Filling Jackfruit Series;PT. Kaneka Foods Indonesia;;owl:sameAs;0.9057904227609697
43369;Squash Berperisa Mangga Superindo 365;INKENAS AGUNG, PT;;42681;Sirup Berperisa Cocopandan Superindo 365;INKENAS AGUNG, PT;;rdfs:seeAlso;0.7945945945945947
43369;Squash Berperisa Mangga Superindo 365;INKENAS AGUNG, PT;;43337;Squash Berperisa Jeruk Value Plus Premium;INKENAS AGUNG, PT;;rdfs:seeAlso;0.8662035393742713
43369;Squash Berperisa Mangga Superindo 365;INKENAS AGUNG, PT;;43391;Squash Berperisa Mangga Value Plus Premium;INKENAS AGUNG, PT;;owl:sameAs;0.91408477602026
43369;Squash Berperisa Mangga Superindo 365;INKENAS AGUNG, PT;;43574;Squash Berperisa Anggur Yoa Food;INKENAS AGUNG, PT;;owl:sameAs;0.9210810810810812
27008;L agie Panda Cokelat Compound Butir;FAJAR MATARAM SEDAYU, PT;;26456;L agie Cokelat Compound Hitam Bread Filling ;FAJAR MATARAM SEDAYU, PT;;rdfs:seeAlso;0.8878268398268399
27008;L agie Panda Cokelat Compound Butir;FAJAR MATARAM SEDAYU, PT;;26518;L agie Sonny Cokelat Compound Butir;FAJAR MATARAM SEDAYU, PT;;owl:sameAs;0.9427834101382488
27008;L agie Panda Cokelat Compound Butir;FAJAR MATARAM SEDAYU, PT;;26608;L agie Sinar Cokelat Compound Butir Aneka Warna;FAJAR MATARAM SEDAYU, PT;;rdfs:seeAlso;0.8850157502072395
27008;L agie Panda Cokelat Compound Butir;FAJAR MATARAM SEDAYU, PT;;26687;L agie Intan Cokelat Compound Butir Aneka Warna;FAJAR MATARAM SEDAYU, PT;;rdfs:seeAlso;0.8922884774799669
27008;L agie Panda Cokelat Compound Butir;FAJAR MATARAM SEDAYU, PT;;26792;L agie Flamboyant Cokelat Compound Putih Manis Rasa Vanila;FAJAR MATARAM SEDAYU, PT;;rdfs:seeAlso;0.8774569689944944
27008;L agie Panda Cokelat Compound Butir;FAJAR MATARAM SEDAYU, PT;;26960;L agie Badak Cokelat Compound Susu Manis Isi Enting Enting Kacang;FAJAR MATARAM SEDAYU, PT;;rdfs:seeAlso;0.8708757908757909
7301;Breader 63082;Saritama Food Processing, PT;;36619;Predust 63081;Saritama Food Processing, PT;;rdfs:seeAlso;0.7948717948717949
7301;Breader 63082;Saritama Food Processing, PT;;5841;Battermix 63085;Saritama Food Processing, PT;;rdfs:seeAlso;0.8034871794871794
7301;Breader 63082;Saritama Food Processing, PT;;7308;Breader 63086;Saritama Food Processing, PT;;owl:sameAs;0.9753846153846155
31823;Minuman teh rasa blackcurrat kemasan botol PET Sosro Fruit tea Blackcurrant ;Sinar Sosro, PT;;26318;Minuman teh rasa stroberi kemasan karton laminat Sosro Fruit tea Stroberi ;Sinar Sosro, PT;;owl:sameAs;0.9031152204836415
31823;Minuman teh rasa blackcurrat kemasan botol PET Sosro Fruit tea Blackcurrant ;Sinar Sosro, PT;;31597;Minuman teh rasa apel blackcurrant kemasan botol PET Sosro Fruit tea x treme ;Sinar Sosro, PT;;owl:sameAs;0.9118281870684617
31823;Minuman teh rasa blackcurrat kemasan botol PET Sosro Fruit tea Blackcurrant ;Sinar Sosro, PT;;31601;Minuman teh hijau aroma melati kemasan botol PET Joy Tea Jasmine ;Sinar Sosro, PT;;rdfs:seeAlso;0.8692102971507143
31823;Minuman teh rasa blackcurrat kemasan botol PET Sosro Fruit tea Blackcurrant ;Sinar Sosro, PT;;31677;Minuman teh tawar kemasan PET Teh botol sosro unsweetened ;Sinar Sosro, PT;;rdfs:seeAlso;0.8677180636319863
31823;Minuman teh rasa blackcurrat kemasan botol PET Sosro Fruit tea Blackcurrant ;Sinar Sosro, PT;;31826;Minuman teh melati kemasan botol kaca Teh Botol Sosro ;Sinar Sosro, PT;;rdfs:seeAlso;0.8744655289016192
31823;Minuman teh rasa blackcurrat kemasan botol PET Sosro Fruit tea Blackcurrant ;Sinar Sosro, PT;;31827;Minuman teh rasa stroberi dan anggur sensasi dingin kurang gula kemasan botol PET Sosro Fruit tea freeze less sugar ;Sinar Sosro, PT;;rdfs:seeAlso;0.864783397774797
31823;Minuman teh rasa blackcurrat kemasan botol PET Sosro Fruit tea Blackcurrant ;Sinar Sosro, PT;;31990;Minuman teh berkarbonasi rasa mix fruit kemasan botol kaca Tebs ;Sinar Sosro, PT;;rdfs:seeAlso;0.8947613737734166
41053;SWANISH Roti Manis Coklat;PT SWANISH BOGA INDUSTRIA;;40905;SWANISH Roti Manis Coklat Keju;PT SWANISH BOGA INDUSTRIA;;owl:sameAs;0.9733333333333334
41053;SWANISH Roti Manis Coklat;PT SWANISH BOGA INDUSTRIA;;40929;SWANISH Sandwich Krim Keju;PT SWANISH BOGA INDUSTRIA;;rdfs:seeAlso;0.8722072874493927
41053;SWANISH Roti Manis Coklat;PT SWANISH BOGA INDUSTRIA;;41019;SWANISH Roti Manis Sarikaya;PT SWANISH BOGA INDUSTRIA;;owl:sameAs;0.9312253968253967
41053;SWANISH Roti Manis Coklat;PT SWANISH BOGA INDUSTRIA;;44202;Swanish Ayam Lada Hitam;PT SWANISH BOGA INDUSTRIA;;rdfs:seeAlso;0.868704347826087
3010;ANNATTO LIQUID WS 1607020 CI 75120 E 160b;GRACIA TRIKREASI PANGAN, PT;;3219;ANNATTO LIQUID OS 1607018 CI 75120 E 160b;GRACIA TRIKREASI PANGAN, PT;;owl:sameAs;0.9534274711168165
17606;GOLDEN LOTUS Chemie DARK BLACK GL 24 FI 150612;PT Bukit Warna Abadi;;17142;GOLDEN LOTUS Chemie NATURAL WHITE 351;PT Bukit Warna Abadi;;rdfs:seeAlso;0.8897232464848657
17606;GOLDEN LOTUS Chemie DARK BLACK GL 24 FI 150612;PT Bukit Warna Abadi;;17180;GOLDEN LOTUS Chemie TARTRAZINE FD C YELLOW 5 CO YT 01 ;PT Bukit Warna Abadi;;rdfs:seeAlso;0.8858928493711102
17606;GOLDEN LOTUS Chemie DARK BLACK GL 24 FI 150612;PT Bukit Warna Abadi;;17184;GOLDEN LOTUS Chemie PINK RED 164 WS;PT Bukit Warna Abadi;;rdfs:seeAlso;0.8974906832298137
17606;GOLDEN LOTUS Chemie DARK BLACK GL 24 FI 150612;PT Bukit Warna Abadi;;17203;GOLDEN LOTUS Chemie DARK GREEN LAKE 04555;PT Bukit Warna Abadi;;owl:sameAs;0.9121202669827211
17606;GOLDEN LOTUS Chemie DARK BLACK GL 24 FI 150612;PT Bukit Warna Abadi;;17271;GOLDEN LOTUS Chemie SUNSET YELLOW LAKE SSYP;PT Bukit Warna Abadi;;rdfs:seeAlso;0.8566003819795529
17606;GOLDEN LOTUS Chemie DARK BLACK GL 24 FI 150612;PT Bukit Warna Abadi;;17304;GOLDEN LOTUS Chemie DARK BLACK GL 269;PT Bukit Warna Abadi;;owl:sameAs;0.9608930669800235
17606;GOLDEN LOTUS Chemie DARK BLACK GL 24 FI 150612;PT Bukit Warna Abadi;;17335;GOLDEN LOTUS Chemie CARMOISINE CO RC 01 ;PT Bukit Warna Abadi;;rdfs:seeAlso;0.8883478260869566
17606;GOLDEN LOTUS Chemie DARK BLACK GL 24 FI 150612;PT Bukit Warna Abadi;;17512;GOLDEN LOTUS Chemie OPAQUE WHITE GL 05;PT Bukit Warna Abadi;;rdfs:seeAlso;0.8891817249270102
17606;GOLDEN LOTUS Chemie DARK BLACK GL 24 FI 150612;PT Bukit Warna Abadi;;17644;GOLDEN LOTUS Chemie D C RED 33 LAVANYA HEBE ;PT Bukit Warna Abadi;;rdfs:seeAlso;0.8851679841897233
17606;GOLDEN LOTUS Chemie DARK BLACK GL 24 FI 150612;PT Bukit Warna Abadi;;18555;GOLDEN LOTUS Chemie TARTRAZINE SKT 175;PT Bukit Warna Abadi;;rdfs:seeAlso;0.8891817249270102
31051;Minuman Serbuk Rasa Jeruk Blackcurrant SEGAR SARI;MORINAGA KINO INDONESIA, PT;;30802;Minuman Serbuk Instan Berkarbonat Rasa Jeruk SEGAR SARI FRENTA;MORINAGA KINO INDONESIA, PT;;owl:sameAs;0.9021789188793798
31051;Minuman Serbuk Rasa Jeruk Blackcurrant SEGAR SARI;MORINAGA KINO INDONESIA, PT;;31216;Minuman Serbuk Instan Berkarbonat Rasa Permen Karet SEGAR SARI FRENTA;MORINAGA KINO INDONESIA, PT;;rdfs:seeAlso;0.8736066802858657
31051;Minuman Serbuk Rasa Jeruk Blackcurrant SEGAR SARI;MORINAGA KINO INDONESIA, PT;;31279;Minuman Serbuk Rasa Jeruk SEGAR SARI;MORINAGA KINO INDONESIA, PT;;owl:sameAs;0.9397732426303855
49289; CAPTAIN S CATCH TUNA SPREAD 185 GM;PT. BLAMBANGAN FOODPACKERS INDONESIA;;49256; CAPTAIN S CATCH TUNA CHUNKS IN BRINE 95 GM;PT. BLAMBANGAN FOODPACKERS INDONESIA;;owl:sameAs;0.915437430786268
15304;FAT BASE POWDER 52404;Drytech Processes (I) Pvt. Ltd.;;15308;FAT BASE POWDER 52402;Drytech Processes (I) Pvt. Ltd.;;owl:sameAs;0.9847619047619047
19743;Hakiki Ovalet;PT Hakiki Donarta;;19399;Hakiki Pewarna Oranye;PT Hakiki Donarta;;rdfs:seeAlso;0.8632673992673994
19743;Hakiki Ovalet;PT Hakiki Donarta;;19613;Hakiki VX;PT Hakiki Donarta;;owl:sameAs;0.9206837606837608
36256;Pazar Bumbu Nasi Uduk;PT Pristine Prima Lestari;;35905;Pazar Bumbu Ayam Kalasan;PT Pristine Prima Lestari;;rdfs:seeAlso;0.899327731092437
